T,r
0.8725,0.9638
106992.7893,125.9795
2429462.0452,389.7939
3664.1343,57.5703
101689.2373,293.2525
4369.4492,62.7192
33856.5863,171.2925
3.9588,2.0432
9259.5522,89.9441
0.0235,0.1629
0.4106,0.6558
0.9187,1.8225
79164.0208,258.6753
0.0642,0.6875
39.8914,6.2421
1607639.7354,338.0181
57617.4408,223.3053
868.8449,28.3513
0.0116,0.1166
400.8873,19.0728
24144.5483,142.6315
36217.8326,175.5936
3.2091,1.8157
0.0008,0.1403
0.0539,0.6427
16.4151,4.0236
87760.6972,117.1169
32694.1296,83.0008
0.1494,0.9368
9128.6172,89.7535
36.3253,5.9165
214137.1807,420.9068
0.0154,0.1303
76.2301,8.4393
0.2239,1.0658
27229.1438,151.1841
0.0139,0.1260
3.2990,1.8470
0.0177,0.4275
0.2647,0.5302
3726562.6907,455.3929
80.1815,8.6866
6553.4688,45.1105
2564.3731,47.4081
168810.7473,371.5232
3641.9350,56.2215
0.0081,0.3226
0.1451,0.3961
2.4291,1.5726
0.2103,0.4753
237083.9274,451.6738
0.4420,0.6828
32.4913,5.6827
0.0826,0.3022
8241.4349,84.8154
2484.0848,48.1204
48413.8264,205.8692
0.6573,0.8308
69.9979,8.7669
0.1719,0.9784
78.6612,8.7867
17364.7556,121.9167
21.3170,5.6170
1139.4920,32.3075
6844.7033,79.3251
0.1162,0.3565
0.4679,0.6911
126716.6192,327.4752
0.0293,0.1792
371.4828,18.6356
0.0130,0.1206
8.0166,2.8278
6936.7127,46.6029
2.4773,1.5661
10814.5973,96.9468
3734.8442,58.5517
0.0741,0.2893
0.0149,0.1284
1351.5237,34.7279
0.0443,0.2228
4086.2333,59.8310
20322.0177,133.3063
9.5380,3.0775
16.5403,5.1532
6838.4113,77.5400
40505.5787,183.2286
383.3678,18.8272
0.3761,0.6300
0.2454,0.5096
0.0120,0.1165
11.0390,3.3455
13926.8711,110.6875
1.0652,1.0459
3.0204,2.7677
2861.7893,51.2042
0.0429,0.2216
14.0566,3.7107
0.9107,0.9814
2069.2404,30.3248
2447.6296,31.7747
192630.8480,398.8317
0.0094,0.1016
566.4300,22.8187
0.0255,0.1703
1852.7008,40.8830
143.9417,11.5700
449.2601,20.4047
0.0568,0.2474
600.1736,23.8360
0.2846,0.5440
120.5204,10.6714
28959.1094,157.8894
0.0010,0.1524
0.0638,0.2640
7439.8986,81.4665
0.5819,0.7955
0.0169,0.1382
20.8814,4.5255
0.4490,0.6897
7.4749,2.7651
204559.4909,407.5312
0.1575,0.4087
576.8422,22.6131
3347.6132,54.4530
7375.1303,81.5751
148.8213,11.9893
1311.0241,35.0318
141.5082,11.5707
2.0601,1.4651
361.0448,18.5874
0.0730,0.2836
0.0131,0.1216
51.1583,6.8370
106763.2765,127.3916
52310.5051,208.2885
64593.7633,106.2972
22104.6568,137.0204
282512.5265,179.7155
47.4615,6.7464
0.0196,0.1503
4541.5817,63.3728
0.4580,0.6963
0.0054,0.2785
0.2333,1.1217
6688.0779,76.9103
1359835.5952,321.3840
0.1791,0.4382
12.6862,3.5810
48.6995,6.8024
0.1908,0.4564
59337.1513,220.5709
50.5103,7.0311
165821.6338,367.4089
8.3881,2.8533
81.7649,8.7815
27802.9430,154.3347
1.1262,1.0799
0.1941,0.4511
146.0706,11.8059
86053.2838,276.1987
0.0223,0.1582
5549.4993,71.6273
61773.6567,231.1038
1.0423,1.0468
1.0774,1.0533
6391.8843,45.4410
83.0267,9.3401
32936.1192,171.3447
48.9510,6.9077
10075.0264,53.4852
18685.0341,127.9386
1601.3179,38.0770
0.4407,0.6809
2416.1597,48.1326
10445.0416,95.9609
0.0324,0.1857
173700.1034,378.6356
0.1087,0.3437
830.9236,27.4001
12823.1008,108.2809
0.0291,0.1795
23736.4453,143.0714
1.5555,1.2812
168955.9911,375.0640
4225.3045,61.5774
2.3404,1.5555
626.9779,23.9766
52.8735,7.1956
155.3264,11.7060
0.0791,0.2906
0.1204,0.8576
7.5418,2.7391
2.0448,1.4618
0.0007,0.1321
0.0190,0.1462
4.7057,2.2034
0.0552,0.6431
0.4607,0.6937
11326.7079,100.6114
2936.3074,51.7158
19.2893,5.4600
160.4245,12.3581
0.0150,0.4084
93085.2589,120.8968
122.7868,10.8336
7.4365,2.7027
2.2873,1.5221
43.2550,6.4055
0.0295,0.1804
58.4974,7.5087
14596.8314,112.7544
77.3971,9.2326
91.2749,9.6911
0.4449,0.6822
0.0112,0.1121
945.3366,29.4110
663.3844,24.5396
0.0981,0.3234
141346.5286,344.3794
0.0022,0.2014
10.7721,4.4356
0.0267,0.1734
229.5256,14.7696
33388.9649,82.7477
246485.6503,453.0239
4.2381,2.0736
5271.3543,68.4838
255955.1885,465.4315
0.3366,1.2519
8524.8025,50.0877
66950.0415,104.9259
47.7842,6.8439
117058.8212,305.9119
0.0386,0.2088
72.9035,8.3979
140.2790,11.5926
0.1578,0.4113
21.1418,5.6804
0.0865,0.3061
7.1685,2.6859
74.4292,8.4055
12.5646,3.6217
0.0104,0.1099
5.4387,2.3609
659.0969,19.8763
0.1391,0.9015
0.0474,0.2296
2536.4165,47.7781
4.0965,2.0537
38400.4190,179.6449
0.1018,0.3322
358.2725,18.3463
0.7975,0.9035
0.0520,0.2453
5.8227,2.3756
0.0003,0.1025
926.0325,22.3448
0.0206,0.1529
4942.4664,66.5102
0.0009,0.1465
0.0551,0.6525
0.1311,0.3788
26.6228,5.1136
285.0041,16.3663
4.8795,2.2146
0.7715,0.8812
16.3433,5.2231
214026.5406,163.2097
0.0006,0.1239
3478.5140,55.7087
3148.1686,53.7150
1.1596,1.1084
29.1926,6.4045
8.6430,2.9505
3281.0432,54.2787
4523.6227,64.0208
0.1742,0.4392
5.7362,2.4067
120.6761,10.7898
10.0985,3.1211
0.0251,0.1654
7.7655,2.7880
5.5011,2.3653
9449.9414,92.8720
0.2819,0.5632
2342.7916,31.5035
0.0423,0.2209
0.0064,0.2961
748.0878,26.2668
0.0908,0.3126
14927.8221,112.7559
30.9866,5.5736
2.9759,1.7618
5.8917,2.4439
800.4352,27.5391
0.5152,0.7261
0.0427,0.2230
19.0445,4.3617
0.0014,0.1735
0.3411,0.5973
141.6046,11.5865
8.7195,2.9873
442.6287,17.1571
1.4921,1.2494
191.1423,13.6530
0.0663,0.2724
0.0876,0.3108
0.1966,0.4569
0.1173,0.3558
6.2023,2.5338
77359.3866,112.1836
6.1485,2.4785
4549.3766,64.3337
22.4839,4.6861
1593.9587,27.3511
3247.7537,54.4804
0.7568,1.6679
37360.0328,178.8086
3351.7428,55.4078
116136.6576,317.3843
0.1831,1.0105
25.9167,5.0365
8566.2702,50.2526
