T,r
6935.2175,46.4232
0.0046,0.1491
274.5099,12.5865
0.8737,1.2403
1084228.3357,346.0810
2.0335,1.7575
5515.7458,41.9026
0.0019,0.1045
581.3483,16.9204
60.3006,6.8670
457.0672,15.4660
2781.5061,31.8678
254.2275,12.1210
0.0023,0.1146
395.6302,14.6033
0.0050,0.1577
92082.8839,130.2021
13.6329,3.6847
1608242.8400,414.2144
678062.5312,288.9920
0.1310,0.5815
0.0040,0.1450
0.2784,0.7866
30127.3555,83.7212
609.4302,17.4352
0.0553,0.4086
3980.0915,36.4167
18.1527,4.2179
1452.5752,24.6986
1225.8256,23.1728
1873520.2801,441.1066
204.5428,11.0831
0.0080,0.1900
0.2243,0.7261
0.3408,0.8471
0.0153,0.2456
0.5402,1.0313
541436.5574,267.7216
0.0665,0.4438
0.1208,0.5638
419852.5085,238.6562
11.4724,3.4764
532461.7585,263.1649
7.3007,2.9356
20.9525,4.5325
0.4822,0.9859
0.3360,0.8410
0.0731,0.4586
1.0850,1.3788
0.5043,1.0052
7.0203,2.8837
0.1111,0.5439
108398.5589,139.4014
0.0745,0.4722
0.8564,1.2367
4285.5437,38.0677
0.2623,0.7794
0.9269,1.2652
3768.4821,36.1935
4186.2243,37.3512
0.0254,0.2988
17565.0221,66.6288
1479.3560,24.8763
1.5585,1.5617
1353983.7402,379.3599
287347.1729,205.7798
0.0180,0.2628
10.3089,3.3145
23329.5345,75.2190
28.0048,5.0016
212958.5562,185.0236
25.5890,4.8832
0.0279,0.3109
0.0054,0.1609
643.3128,17.5955
195.8786,11.0952
2377493.1300,482.5590
1.7617,1.6657
469996.6443,251.0623
0.0074,0.1830
8.9344,3.1538
102011.9382,136.0057
713542.0012,291.4965
47.2192,6.2556
819.0564,19.3817
44.5006,5.9824
0.4886,0.9921
612375.1754,277.6380
0.0286,0.3202
0.0226,0.2829
23.3883,4.5973
1612.9524,25.6935
1259790.4823,371.9098
0.3675,0.8855
1374.8720,24.3343
31853.4175,84.9005
0.4691,0.9842
4234.2688,37.4792
47920.9692,100.1428
0.6127,1.0835
30.1861,5.2338
81828.2809,124.7109
39124.8455,93.4953
590.8754,16.9696
2.5945,1.9431
102.3971,8.4440
1720905.2964,419.9331
5.8934,2.6647
7.0376,2.8950
363574.4050,227.7885
353175.6931,226.1160
585456.9372,275.4891
5083.3547,40.8178
36732.6859,88.3335
16.0560,4.0440
94.0545,8.1474
832694.7081,316.1879
0.2192,0.7055
741518.8008,301.2999
0.1352,0.5842
5074.8298,40.5589
0.9445,1.2617
0.0047,0.1541
0.1456,0.5934
1485080.6068,399.5336
0.5253,1.0153
0.0581,0.4193
214928.5025,180.6442
0.0645,0.4378
150380.8117,155.8560
0.0155,0.2482
0.0293,0.3127
69.1043,7.1340
0.0029,0.1265
4693.5023,38.6790
5776.7131,42.7792
0.0056,0.1637
92750.3790,130.4927
16.3256,4.0460
1161.2053,22.6427
0.0126,0.2269
141.6599,9.6973
0.1699,0.6445
0.0031,0.1306
621626.9783,283.6305
0.0700,0.4474
250202.6960,192.2361
58.2492,6.7127
0.3335,0.8442
100970.0505,135.4485
366.2383,14.1157
0.0113,0.2184
535876.4662,266.9065
730067.3722,300.2793
4.9414,2.5013
1.0777,1.3475
0.0082,0.1900
3060.2398,32.7134
2.7325,1.9721
42075.5370,95.0246
53942.1679,104.6614
0.0026,0.1208
192399.1065,177.2197
1.7905,1.6728
0.2197,0.7103
0.0021,0.1120
5.4413,2.6088
992.5952,21.0166
0.0867,0.4989
431339.7699,242.9396
0.1247,0.5734
0.3342,0.8513
200.5302,11.0883
0.1669,0.6427
6.8991,2.8795
0.0550,0.4065
109.1097,8.6455
23.4493,4.6092
0.6650,1.1226
2.5123,1.9097
0.4129,0.9153
3651.1725,35.2160
0.5729,1.0493
40.2340,5.7742
39062.3719,91.7672
0.0037,0.1368
13215.0972,59.2472
0.3807,0.8865
156.5964,9.9153
434.8289,15.3884
0.5887,1.0816
3044.2574,33.0479
5.1836,2.5985
157245.9812,160.8871
11606.9247,56.6000
0.0038,0.1392
0.2634,0.7708
56.2894,6.6633
1401504.2259,385.7339
0.0171,0.2571
4.1356,2.3299
2933.7323,32.8426
2845.2267,31.5760
0.0083,0.1914
2.0297,1.7442
0.0122,0.2230
0.0239,0.2967
157562.6435,161.3403
708.7132,18.2798
351286.1286,224.7151
128784.7519,149.6385
0.0093,0.2004
1054109.6891,351.2499
330861.6882,219.1435
4.5455,2.3909
280.0000,12.6748
59074.6136,108.3264
27328.8551,80.3436
44.1996,6.0488
5.6177,2.6372
4.7321,2.4858
1.0356,1.3236
42185.9327,96.5488
152.2139,10.1587
1854996.7363,429.5475
428310.0187,242.3307
6.8905,2.8422
4.6879,2.4748
139.9023,9.4739
12.8466,3.6826
0.5642,1.0380
291.3259,12.8841
4078.5345,37.1525
0.0134,0.2343
0.0022,0.1142
48.7143,6.3160
8206.0179,48.6319
107747.9802,138.0724
2435092.0433,484.2979
2536102.9117,490.4696
11211.6694,55.0605
654.8036,17.7541
24919.4359,77.6230
0.0082,0.1901
250.4316,12.1223
31.2083,5.3277
38901.9291,92.6783
0.0089,0.1991
58495.6517,108.5228
148381.9119,157.2280
0.0056,0.1642
0.3429,0.8626
1.6491,1.6059
11.2031,3.5154
9891.0283,53.2738
5970.0176,43.1189
0.8660,1.2471
215828.1805,184.0117
226.5494,11.6174
0.0032,0.1317
1.6310,1.6139
2485.8370,30.3766
1396560.3673,392.9469
216.9731,11.3932
45.1683,6.0930
0.2430,0.7463
0.2356,0.7507
357.5711,13.8422
0.0063,0.1718
778.0368,19.1973
3167.7359,33.8814
198.1171,10.9725
0.0399,0.3610
91.1315,8.2252
0.0017,0.1004
54659.5868,104.7025
61.1141,6.8364
5386.8555,41.6429
0.0073,0.1822
62561.1322,110.5292
13.0676,3.7380
0.8317,1.2179
1.6921,1.6154
33.5662,5.4907
0.5128,1.0103
4.9507,2.4984
6.9424,2.8884
79.1257,7.6223
0.0980,0.5236
0.0379,0.3530
0.4158,0.9211
297.8215,12.9976
