T,r
683.9714,85.5135
72.2722,13.8734
174.8996,28.0772
31.0509,10.1880
0.1350,0.4704
23.5585,5.5097
515.6898,68.5888
0.0256,0.1855
1221.6301,138.8819
0.6240,0.2932
6.7880,2.0564
41.5207,8.8687
532.3814,71.2422
10.0102,5.4384
325.3578,46.1997
184.6987,29.8407
4.2215,1.4000
1.2867,0.5443
18895.1022,389.4681
0.4961,0.2469
2.6112,0.9578
1076.3444,122.5971
0.0343,0.2138
394.0112,53.9304
156.1109,26.3026
2351.6090,227.3417
4.8390,1.5357
43.7581,8.9187
4.8269,1.5350
10.3534,2.8866
264.6783,39.7999
3102.3037,281.2434
1.3278,1.7218
1.4410,0.6008
0.0235,0.1748
2017.7834,204.5941
50.0990,10.0915
0.2501,0.1433
0.5306,0.2609
2464.5739,120.4615
46.9606,13.1014
18.9827,4.5654
25.7426,6.0658
8.8798,2.6140
4641.8252,394.0911
212.2976,32.0122
1.1887,0.4908
629.9797,79.4124
1513.3524,159.2190
434.9832,59.3216
24.6120,8.9229
2806.7266,257.7961
3511.3521,315.0641
1.8360,0.7012
0.6400,0.2952
2.3260,0.8609
67.0786,13.2230
17.0523,4.3418
0.4820,0.9792
0.3655,0.1964
1440.3515,151.4193
264.0028,40.3553
3.3217,1.1282
2.1242,0.7769
5.8073,1.7877
0.0583,0.2960
3295.0861,305.5735
0.0125,0.1217
0.3406,0.1752
3780.7872,153.1909
20.6873,4.9552
0.0289,0.1955
3572.1894,322.2524
15.2598,3.9883
3525.5605,319.1977
40.7035,8.4007
198.5228,29.4273
0.2220,0.1339
180.8573,28.4923
8.9457,5.0339
43.6511,9.2344
8.5589,2.5429
4018.9651,352.6969
53.1337,10.3634
0.1785,0.1081
0.5741,0.2773
1978.3756,106.0237
4989.4829,415.5034
0.2597,0.1453
35.4831,7.6418
19.3840,7.8822
152.9219,24.9638
24.2440,5.6393
350.5252,49.9434
134.5918,23.1777
1711.8988,177.2677
0.1679,0.1002
7.7227,2.2403
6.4275,1.9816
4.1684,1.4022
0.1929,0.1189
7.2753,4.4904
0.0269,0.1896
62.0651,11.7766
21.3489,5.0669
2.7366,1.0000
3.1109,1.0827
1380.9284,155.3686
6.3407,4.2225
2082.2904,214.9961
30.7882,6.9260
26.6855,5.9704
0.2607,0.1481
2471.4538,236.8112
2.2216,0.8194
2619.2011,249.2923
2173.4121,212.6374
2.3152,0.8444
1.2399,0.5062
1.1144,0.4737
0.6272,0.3001
1352.9841,150.8750
75.8114,17.1473
90.8002,17.1179
3.8503,1.2672
0.0405,0.2356
277.3497,35.6918
0.7950,0.3607
1.0844,0.4749
