T,r
0.5417,0.6062
187153.6645,259.8254
195594.2157,263.0959
351989.0521,345.3833
83.0363,6.4695
1.0307,0.8025
251.5101,11.1432
1651.4590,27.5630
3.2044,1.3931
154.1125,8.9799
1.7201,1.0408
117677.6776,120.4158
0.3338,0.4859
0.0154,0.1113
9830.9765,63.1196
5.1420,1.7208
12280.4281,71.5981
0.0740,0.2339
6.3476,1.9321
0.0541,0.2017
598.2550,16.7664
248290.5556,296.3548
6220.1846,33.1819
1020.0316,21.9707
0.4161,0.4909
724.9529,18.6760
0.5586,0.6016
1563.9069,26.3184
0.0143,0.1114
74.9662,6.3537
479.6051,15.1552
8.5466,2.2714
178.6466,9.5696
0.0111,0.1010
11199.6156,66.9977
1368.3658,17.3775
4.4052,1.6277
43.0546,4.7390
266.1301,11.5116
479.1147,14.8817
668377.6448,465.4686
2.9822,1.1711
2925707.6955,492.8416
522490.7006,427.9367
0.0310,0.1533
0.8102,0.7250
0.1514,0.3143
6.8768,2.0017
0.0155,0.1148
0.4540,0.5126
4.6988,1.6595
359781.0711,355.6788
0.2229,0.3961
1718.2431,28.0811
576.6746,16.5898
0.0936,0.2601
35641.7240,119.7783
0.0146,0.1140
6.9333,1.6665
4.2903,1.3827
958.2002,20.9352
3.0633,1.1763
13.4326,2.7511
613058.6592,455.5717
15.5701,2.4247
48948.5544,136.4950
0.1589,0.3204
191452.5748,261.8038
96.1379,5.3880
4598.7291,43.8040
2838.5282,23.8882
0.5783,0.6270
0.1483,0.3214
4.0480,1.5736
3536.7660,26.0875
14035.7297,75.8306
385.7226,13.8228
0.2078,0.3784
49.9435,5.1963
43.6994,3.7698
340274.5341,340.4932
655.3165,17.7365
601872.6599,452.9231
0.2815,0.4422
2553159.5255,467.7496
2.6737,1.2557
0.0675,0.2216
116.5775,7.6915
79247.3350,169.5636
1.3095,0.8045
47.1047,4.9770
50.9161,3.9841
430226.9875,387.4477
1085.4683,15.4371
0.3540,0.4897
7287.7011,54.9834
29066.3709,107.9879
518192.8998,418.9961
0.1168,0.2806
793.5612,19.0695
0.0376,0.1673
3082.2044,24.9778
0.0965,0.2630
343165.7243,337.9682
3.3987,1.2435
494848.3063,419.7194
9799.2031,40.7036
23805.0632,97.8296
171785.3885,143.0980
53.6795,5.3782
233.5802,10.7476
1384.5207,25.0480
929.1868,20.6217
474189.5366,401.5077
159056.5871,239.9792
8.7374,2.2403
96.4849,5.4108
2457.5309,32.4891
39.8378,4.5780
351185.2770,351.1745
0.0619,0.2122
3.1842,1.2060
0.0546,0.1977
0.1678,0.3447
0.3704,0.4974
0.1283,0.3067
679166.0577,481.6447
1027049.2341,315.2464
0.0184,0.1196
52.0552,5.2874
10955.8141,67.1164
0.0239,0.1380
506.1156,10.9485
51954.8194,142.0356
214042.1313,275.4653
507008.0147,418.9600
8744.9248,59.9324
118.8010,7.7170
12.4384,2.6085
0.2162,0.3905
432004.3130,385.1192
0.4739,0.5539
13947.6599,74.7267
0.0442,0.1828
2.0884,1.1310
12887.7038,72.7208
0.0387,0.1724
0.8313,0.7300
0.0463,0.1842
36121.8939,118.1144
3.2594,1.4161
10840.6660,66.2450
155.1687,8.9220
39.6614,4.6063
62150.6320,152.8540
2631.8210,33.9524
0.6585,0.6116
0.3779,0.5017
1622.8603,18.5319
0.3602,0.4692
55.6244,5.4674
192.4216,9.7005
0.0252,0.1397
312.0193,12.4252
8106.4666,37.2097
468.9546,15.1251
0.2786,0.4342
13315.9947,73.4623
1394.2606,17.3523
15.8033,2.9312
13158.8916,74.2876
1.1464,0.8603
59.9165,5.6560
243.1995,10.8241
2403.1700,32.6197
122221.2534,210.1468
0.8811,0.6874
0.1300,0.3038
0.0385,0.1727
440079.8673,390.8120
177.9023,9.2990
0.0498,0.1938
0.1643,0.3374
52.0168,5.1941
1.2149,0.8881
2460.3243,32.6661
1.6932,1.0079
19.3060,3.2948
74.0782,6.2364
40161.6108,75.3404
0.0227,0.1327
482.3515,15.0638
545.5603,16.0360
893.9615,20.2459
0.1258,0.3011
252.6120,8.1269
0.0279,0.1449
0.0315,0.1554
37.0818,4.5367
1645.4171,27.4851
2.3811,1.2111
2.2473,1.0149
3982.5775,28.0446
209.7169,7.5608
495493.4872,411.7069
79243.1148,172.9084
0.2935,0.4446
0.0746,0.2344
13139.4238,46.5007
44.0394,4.7730
0.0320,0.1570
9.8272,1.9615
516.7814,15.6940
49003.9901,136.0223
48973.1221,135.0886
0.9033,0.7638
204807.7079,269.1070
1.8242,1.0652
0.0458,0.1881
0.5466,0.6034
5.6438,1.5441
104.9403,7.2170
1.3742,0.8317
3.9394,1.5364
1.7418,1.0465
52989.4666,140.6576
1.7343,1.0667
75318.3842,166.4955
0.0133,0.1032
0.7770,0.6499
712.6652,18.1447
76664.6661,170.4803
