T,r
355360.0884,352.7565
3.6160,0.8221
232.1811,20.9675
0.3713,0.1373
10585.5316,400.7858
5.6147,1.1897
1286.4206,80.9219
3.3599,0.8044
3.1311,0.5609
4161.7587,192.2089
0.1591,0.1078
0.4212,0.1547
62.0967,7.3996
17.9925,2.8731
820.1799,54.5111
5108.6498,221.6266
2.0396,0.4378
21.0119,3.2614
336555.3759,339.7626
129.0274,13.4762
512.3471,38.9023
8292.2947,338.9199
147.9882,15.0829
2888.2194,149.5526
4294.5104,199.4783
127290.1809,194.4134
17172.3062,66.7894
422.3308,32.4520
52.2951,6.5688
110.7142,4.0201
43.7426,5.7629
6957.7675,292.6517
4911.1244,222.7701
44.2965,5.7246
50.9553,6.3891
76.0483,8.7258
13.4945,2.3432
3.7675,0.8645
3564.2449,172.4751
0.2969,0.1188
10.4232,1.8794
51.6052,6.6903
0.1522,0.1051
1982.3291,108.9590
7022.7829,294.8417
4.8701,1.0739
274.8899,6.7212
27.8727,4.0514
1032.9343,67.1308
71616.7019,145.8084
0.9878,0.3038
1786.4411,102.5707
845.0159,57.2260
0.6673,0.2172
12747.0533,462.3219
839.2872,58.6537
64.5498,7.6346
26.3055,1.7936
120.7408,12.7420
0.7373,0.2416
9963.3007,380.2637
35.2639,4.8588
0.7556,0.2436
249.9535,22.0968
28260.8316,86.6132
0.4094,0.1524
3212.8476,25.6609
5.9103,1.2300
0.5333,0.2126
103.2972,11.1847
4.2273,0.9691
30.9397,4.4035
8.4442,1.6199
0.6754,0.2270
1.9976,0.5226
86.1524,9.7800
65.1364,7.6925
15.1475,2.5963
1.9601,0.5176
1170.0632,14.9064
112.1152,12.0570
8.3449,1.5492
13.0355,2.2233
13256.7413,489.5234
4.5306,0.9909
7503.3840,313.3007
112.1322,11.7177
4792.1043,218.6773
64.7958,7.7852
9.2632,1.6711
1.8006,0.4808
0.3246,0.1579
125.1236,13.0415
8520.8867,335.2645
0.4205,0.1586
3014.2086,24.6328
1372.7291,16.0072
1.5172,0.4131
43.2221,5.5678
1.0849,0.3353
256984.4717,294.4386
1.5875,0.4320
3812.1293,184.1775
666.2523,48.2256
348.3015,7.4858
485.9177,36.8238
1052.7158,65.8992
2809.1476,142.9427
188.7153,18.1247
1.0390,0.2996
125810.2706,195.4809
0.6047,0.2015
2635.4642,134.0233
3.9257,0.8702
4381.2273,203.2355
2.0102,0.5283
21.8344,3.3636
57.4427,7.1155
1137.3658,71.5954
68112.7889,141.5529
1315.1652,81.0493
3.4492,0.5978
28.9975,4.0329
75.3891,8.6776
170.5151,16.7177
1968.2798,111.4119
76.5450,8.6743
1.4765,0.3715
3054.1705,151.3948
3035.0516,154.4625
3.4034,0.7876
28.1302,4.0784
1.6200,0.4517
28.0475,1.8796
11082.5010,409.2423
143.5119,4.6614
517180.7152,444.9963
0.9451,0.2938
317.9326,7.2173
41.4742,2.3851
30.6038,4.3327
12.4000,1.1951
11.5235,1.9420
0.3294,0.1600
27.9280,4.0824
28.1155,3.9663
333.5848,27.9347
1240.0428,74.7452
7127.8353,40.5417
6.1028,1.2495
22.1958,3.4011
7186.9591,300.3883
21384.8604,74.2955
998.8802,64.5055
3344.7707,162.8937
80.5283,9.4613
813.8959,53.6620
1345.3094,16.2023
42.4008,5.7602
201.0174,18.7940
6248.5695,38.2860
2.3341,0.4738
93.8602,10.6188
3.2595,0.7548
156.7940,15.2343
4.5171,0.9599
99.5258,11.0903
72.0009,3.2260
0.5226,0.1895
35.1687,4.8576
2780.2481,24.1818
8803.3485,348.6330
7.2655,1.3990
66.9321,7.9037
4205.7340,201.3973
12.0360,2.1033
313.1822,7.1297
23.6778,3.5249
14.1324,2.3864
3472.2313,166.9148
0.5237,0.2063
33.5095,4.7383
1577.4944,17.4700
3.8175,0.8717
29.8769,4.2219
41.2617,5.5003
455.2105,35.4356
0.4980,0.1790
2285.4538,125.9870
1.0211,0.3145
3.5431,0.6185
1407.1975,86.2853
9469.4747,362.6499
3246.8126,158.9269
135.6153,13.9721
1315.7008,82.5924
4879.5791,223.3306
