T,r
40692.3510,372.3436
0.0241,0.1197
1.1653,0.5714
7.1770,1.3327
53774.8230,445.3062
0.1659,0.1678
8774.6808,26.5268
4.6878,1.3370
255.9795,16.1183
2496.2493,67.2186
0.2085,0.1935
2.3037,0.8726
37829.3778,365.4750
0.5713,0.3675
3.3957,1.1219
0.0953,0.1225
84.0795,8.0852
157.3438,12.0907
0.5751,0.3797
0.2584,0.2231
43.8217,5.4416
46226.6060,407.1929
4555.3823,95.9722
0.1807,0.1809
88933.6806,70.2632
788243.0019,174.5362
98.0599,3.8894
19.9821,2.0313
33060.9818,329.4900
90.8909,8.4135
4.1206,1.2640
317138.2655,118.6747
0.0798,0.1085
65.3870,6.8555
702.4920,30.8477
92554.1485,70.5212
5.2127,1.4651
181.0529,5.1522
0.8773,0.4771
21.4066,3.4233
0.1653,0.1675
999.4627,37.7118
27.9052,4.0092
0.1047,0.1296
231.9424,15.0506
4.1508,1.2533
597.3200,8.6143
1666.4239,52.3807
3.1254,1.0856
5094.9103,103.2539
545.8275,26.1528
2680.6125,68.5476
0.5178,0.3470
4428521.1609,361.9828
3.6013,1.1705
0.2544,0.2200
1.1196,0.5705
143.4847,11.5834
4.7659,1.3880
0.4835,0.4235
76.7396,7.6851
181.8532,13.3222
3938.9243,18.5209
1376.8857,45.7670
0.0338,0.1384
0.3356,0.2640
1233746.0743,208.4842
92480.9564,70.1311
14015.2644,193.1481
1.8832,0.7756
0.3583,0.2796
878.8001,35.3262
42119.6998,383.6528
0.0900,0.1185
4155.4697,90.0294
4809.4289,100.7744
6951.0709,125.9762
8.3968,1.9238
1.6057,0.7141
60.5183,6.6020
38.1346,4.9833
0.3246,0.2563
1.1478,0.5678
15265.4011,203.9486
0.2637,0.2298
8735627.0461,482.6619
402033.9910,131.5129
24619.1496,280.8218
1978.6805,57.7468
0.2101,0.1973
19.7486,3.3090
0.0443,0.1558
669.9956,30.0113
1.1322,0.5503
5.1524,1.4102
380.5324,20.8311
19.1867,3.2713
27.4784,4.0148
697.7046,30.6578
0.1114,0.1347
4086.3694,90.0636
11164.6909,165.8069
57.0037,6.4568
17.3996,3.0729
524780.7008,147.3941
2767.4843,70.0427
0.7613,0.4369
109.0618,4.1630
15841.9237,210.9787
0.1773,0.1811
9508.4198,152.6895
1.4095,0.6335
0.8282,0.4685
3.1920,1.0750
1.2598,0.6014
2.0513,0.8074
1403.5733,47.1353
2.8190,1.0132
0.2563,0.2296
12.3024,2.4802
0.6658,0.4889
12.0040,2.3864
0.1920,0.1865
0.2526,0.2217
2228.4352,62.8999
0.0369,0.1407
24.1455,3.8106
2808.8859,70.7974
136857.8362,83.6742
127.4243,10.4247
54887.7942,449.8701
2.4093,0.8934
2679.4131,69.5279
9710.1104,27.5314
0.8746,0.4832
8166.0867,140.8938
75.6199,7.7871
0.3890,0.2938
23250.0510,264.7079
193092.6197,95.8922
192.7923,13.7961
11220.4629,169.3293
597.1092,26.9047
465.7183,23.8447
6362.3544,116.8171
0.1861,0.1818
41.4546,5.3018
2.1860,0.7946
3579.5773,18.1236
246.6596,15.4083
2117.0460,58.3393
3184.3250,76.9194
52666.7139,438.8563
50.8128,5.9627
4.7329,1.3260
1.4810,0.6710
10.1311,2.1688
0.3686,0.2848
354.3810,6.8706
3.8194,1.2044
198.1274,14.2617
4.7113,1.3626
38244.6330,360.4556
663.0912,30.0675
1.7980,0.7637
0.3258,0.3599
6229.5762,119.1107
63.5209,6.9480
9.8785,2.1124
9608.3685,154.3753
4641.5559,102.2316
2.3384,0.8664
887.4318,35.4686
0.4704,0.3273
5405211.5974,391.5576
64051.9191,490.2848
0.3492,0.2762
0.2873,0.2415
36228.4884,351.8542
47.5330,5.6386
0.0812,0.1082
39783.3386,374.1285
13.5477,2.6419
447.0117,23.1786
3548.8462,83.3914
0.2035,0.1945
692.0660,9.0957
36.5522,4.8172
117.0052,4.3185
4999.5325,101.9138
0.0297,0.1309
159.8499,4.8823
11898.6018,174.3392
24.2554,3.7443
8.3616,1.4255
6003.7403,115.8622
3752.7572,18.4605
4831.6858,102.2387
0.1804,0.1809
1173.7474,11.2558
742.5660,31.0587
0.1231,0.1409
3568824.4721,329.6521
28.0026,2.3683
19.4373,2.0030
43132.1793,389.8762
1078.9539,39.3387
2.4131,0.9041
2464.8320,66.6384
0.1737,0.1764
15868.7030,204.5028
4536.6448,19.7968
13929.6688,192.7900
0.3414,0.2643
0.1628,0.1683
17.2875,3.0668
5195727.2022,384.7668
5128.6836,105.3245
24174.0831,41.1948
7857.4844,137.8638
301.8320,17.5651
0.5995,0.3757
2194.4511,61.1222
632.8845,28.2199
0.2080,0.1932
0.3581,0.2758
39.4728,4.9452
24230.9627,272.1993
7389803.1857,441.6755
0.2862,0.2400
8.5200,1.9829
0.1716,0.1715
15266.0522,205.6144
25.3383,2.2588
0.1171,0.1393
997.6054,38.6350
4333.6400,94.7232
0.0319,0.1355
0.1414,0.1551
3.4198,1.1091
51.5619,3.0209
12559.8335,180.3728
24.3214,3.7121
2.2471,0.8363
32891.9304,45.8580
12192.9289,30.5876
66.3792,7.0800
37866.3946,355.4484
723.9909,30.7686
0.5341,0.3538
110122.5810,76.5322
0.1712,0.1742
33.6875,2.5570
