T,r
0.6619,0.4668
1032.7107,185.7812
136.1547,17.2978
0.9970,0.9906
0.3948,0.5996
0.3160,0.2549
0.6375,0.4496
8581.5705,186.2973
0.1389,0.1348
34.3734,7.8509
20.3001,5.7114
7.3281,3.3256
3369.6495,108.3933
0.3829,0.5686
0.7268,0.8223
54.9604,10.0835
0.0488,0.1777
8.9647,3.5488
15.7369,4.9149
2331.5283,87.6391
48.1305,15.6386
3.0678,1.6240
1.4082,1.2140
1634.3065,71.3728
49.0362,15.7807
773.9790,46.6508
6862.6301,165.7415
1.6988,0.9859
26.3502,6.7204
719.3410,44.7506
3503.4645,110.4856
0.5069,0.3658
291.9863,26.1477
0.0939,0.2590
75.6575,12.0188
0.5310,0.3954
2.2367,1.5874
25591.6322,346.5981
44040.9259,482.6926
118.0213,31.8403
8337.7862,181.0848
0.4368,0.6220
43.4573,14.1999
10916.2895,219.5112
0.4670,0.6595
3.6622,1.8492
17.1404,5.2125
0.3073,0.5052
1.2776,1.1344
625.9955,40.4997
2963.9434,101.5335
21626.1538,317.8207
0.0899,0.2467
27.6606,9.9164
7565.9922,170.0401
334.2986,73.4858
21605.6271,315.2709
54.6376,16.9587
3.0448,1.6177
81.2201,12.5291
11928.1620,226.9113
6.3464,2.9961
3.8512,1.9482
6482.1676,157.5767
0.1378,0.3260
27.0658,6.7011
41623.7341,458.2958
5.1963,2.5797
3483.1973,110.2018
6578.1993,155.4073
553.0427,38.7193
0.0633,0.2061
88.0836,12.9736
2281.1001,85.8406
11.3330,4.6787
208.3074,21.6103
3.3373,2.0205
30.1706,7.1444
17492.4403,278.2714
170.3521,19.3136
2994.6729,447.0662
599.3247,40.2859
0.0348,0.1428
160.0202,40.8529
347.2154,75.6452
2772.9517,414.6866
0.1934,0.1683
7.0586,3.1136
469.2820,99.2509
1570.8830,70.1830
1.2009,1.0971
130.2849,16.6133
7062.8969,163.7955
32.7819,7.4366
3.6379,2.1309
0.4963,0.3649
901.3993,51.1808
0.0370,0.1503
290.5249,26.4014
4.7290,2.4271
0.0919,0.2535
28764.6169,371.9416
0.1522,0.1400
895.8730,166.1280
0.2051,0.4024
3.8996,2.1970
7.8628,3.5300
6.1263,2.8493
0.2788,0.4789
2.3035,1.6133
19113.6322,295.9195
0.0313,0.1373
399.1888,31.0277
1.5849,0.9734
0.2717,0.4707
32344.8541,399.0009
1.7446,1.0341
0.0665,0.2085
1229.2800,60.6209
184.9112,45.2449
14.0599,4.5570
74.1664,11.9966
0.0355,0.1502
26692.3265,355.8434
0.5677,0.7267
2377.8118,88.7952
1.1012,1.0612
14858.4156,255.1988
0.3518,0.2861
1.3478,1.1992
4.3559,2.3319
11.9631,4.2062
19482.2594,294.8523
708.8081,138.9700
0.0191,0.1029
0.7920,0.8812
108.7970,15.2772
0.7848,0.8873
1.7789,1.4174
1.4657,1.2449
0.8002,0.8830
12619.0592,234.0454
0.0876,0.2465
56.8606,17.7908
0.1507,0.3375
0.0620,0.2036
1.2975,0.8040
957.0011,53.3410
1.8030,1.4113
154.5985,18.4187
1222.6212,214.8993
2.6127,1.7631
9.5020,3.7529
2.0752,1.1881
1637.7905,273.2785
72.0929,11.9916
31.4980,11.1122
200.9123,21.1504
303.6687,26.9072
95.3788,26.5850
15.7610,4.9614
39.0828,8.4272
0.5141,0.3795
45.2749,8.8983
0.2368,0.4416
975.0354,52.9139
0.0390,0.1546
0.6872,0.8042
526.5614,37.3646
0.1143,0.1118
28.1183,6.9604
0.0378,0.1536
61.5854,10.8495
333.1075,28.9209
0.2755,0.4725
324.1751,28.6467
1310.7302,224.7320
0.0334,0.1423
2.4509,1.3567
43.0235,14.4290
0.0305,0.1320
3.6786,2.1622
3221.5468,105.9097
8.4979,3.4752
0.1958,0.3989
154.2206,39.0846
5645.4500,148.0228
4.8177,2.4611
22.4335,6.0770
19268.5600,296.6628
7840.2523,178.6758
669.4178,42.6630
195.0701,20.9967
12.8844,5.3350
24643.0811,345.5243
50.3853,9.7512
0.2479,0.4559
0.1093,0.2886
436.4849,92.1541
1.0329,0.6892
620.7949,41.2380
62.8510,10.7840
0.1910,0.3919
1.6154,0.9435
0.0662,0.2048
0.6024,0.7574
2346.4774,89.0143
0.4879,0.6552
4553.2308,128.0089
9.4773,3.9851
77.3115,12.4050
17.0358,5.1061
3.2713,2.0287
17.2577,5.1260
1.2396,1.1379
134.5691,17.1818
35.1225,7.8450
279.4952,25.5383
0.2414,0.4368
535.5729,109.1465
0.1455,0.1339
9.6158,3.7641
581.6159,38.4573
339.1174,75.4109
271.0139,25.4044
5.6345,2.7039
0.0262,0.1220
1093.5705,56.8306
0.2329,0.4313
0.2262,0.4239
347.3166,29.2274
2296.1188,364.9715
5.9262,2.8247
483.4966,35.9284
2.0164,1.1598
0.9917,0.6382
0.4399,0.6345
0.0274,0.1257
3055.3023,102.3835
536.4636,111.4172
1.2268,1.1598
0.8613,0.5839
1.6831,1.3494
11.6651,4.0835
0.9324,0.9533
37467.7874,443.0565
2375.5580,368.6628
87.0740,24.8238
0.4733,0.3548
178.3787,19.7693
0.1582,0.3475
13.4399,5.4559
0.8259,0.9117
698.0921,137.9252
22554.2722,324.3416
15.1331,4.7883
481.2709,35.2852
7136.5207,167.0098
98.5211,28.5140
127.9803,16.2044
397.6424,84.8283
0.1346,0.3153
8845.1568,188.2063
2.7355,1.7971
0.0283,0.1285
4.9873,2.5766
14.5063,4.7765
2.7738,1.8384
40.2754,8.5130
1.2856,1.1760
0.6011,0.7444
594.5594,120.9159
8.6849,3.4788
10.2235,3.8175
0.1137,0.1109
46894.4875,480.5796
89.0644,25.7873
877.5610,48.6989
181.9694,20.0019
5820.5567,147.8775
27.9750,9.8319
9365.1225,196.4442
166.5578,18.7734
165.9514,19.5098
0.1299,0.3080
174.6467,19.5810
0.0516,0.1860
76.6642,22.6447
3.9168,2.2246
7.3571,3.1575
3.1599,1.9494
759.1200,45.2422
690.8202,44.4136
3.1236,1.9488
22.6025,6.1303
8.0092,3.3901
444.7851,33.4549
0.0265,0.1232
9.2312,3.9843
3.2456,1.9473
33.5479,11.6709
10.6479,4.4078
198.4539,21.1559
0.6482,0.4614
145.0962,17.7885
1266.6167,62.2917
0.4735,0.6557
850.9018,49.6207
2377.3058,369.5838
2.9057,1.8785
6.4896,2.8544
5.4222,2.6182
0.6245,0.7739
17.4544,5.0940
0.1431,0.3281
1.5350,1.2698
63.7103,11.0740
27325.3222,364.0281
661.6961,42.1234
9029.4557,192.9318
11083.6356,212.0339
16.1599,4.9765
33.5816,11.8366
0.0203,0.1067
155.5945,18.2387
2.2391,1.5890
8.1944,3.3508
0.0558,0.1873
99.4177,14.4880
281.9465,25.9224
12.5929,4.3530
5.3149,2.7069
18962.6289,291.0208
14279.6550,249.5652
41.6728,13.3717
390.1433,83.0148
1236.0586,60.0937
19.9933,7.3718
529.1491,37.0561
