T,r
232.6455,33.5265
0.1103,0.1421
39.1441,9.2970
593.7371,65.7958
52.4092,11.4785
0.2226,0.2277
14.7459,4.7092
47.1016,10.5001
10.8653,3.7228
4.8510,2.0901
5945.2854,338.1931
7.7704,2.8864
50.0387,11.0262
2.1284,1.1578
33.7956,8.4251
2.8060,1.3950
3.5515,2.5205
121.8882,20.9472
16.4333,6.6662
3271.3465,221.4898
0.0878,0.1147
4572.5940,269.6546
5.5052,3.3762
658.5028,69.2925
794.1511,79.7080
22.0831,6.1497
264.1143,36.2344
9095.1081,447.9072
38.5000,9.2459
221.2938,32.3186
54.4159,11.7061
880.7213,85.9777
1.5854,0.9040
0.3020,0.2797
1.6754,0.9580
0.5647,0.4426
4310.3217,269.7874
436.7490,51.9178
0.8985,0.6222
1502.1912,121.7422
377.4922,46.6409
10044.8056,495.3344
5105.8357,306.6614
20.7843,6.0004
0.0349,0.1306
181.7625,27.6541
0.0765,0.1073
0.0743,0.1074
1069.9444,97.4184
3.1575,1.5202
0.1756,0.3682
3720.3324,240.6785
11.1010,3.7687
27.6546,7.2444
0.0921,0.1251
0.2178,0.4264
0.1030,0.1339
0.2676,0.4849
14.6525,4.5407
23.6830,6.4842
370.0669,45.4480
3307.8230,224.4757
25.7933,7.0440
0.9018,0.6248
0.2745,0.4975
6861.8496,369.9227
22.6669,6.2300
29.3419,7.4471
89.8356,17.1282
5823.7451,335.9834
0.4056,0.3520
396.1597,51.7184
4514.5373,278.0908
37.2867,9.2550
35.9601,11.2574
4.6394,2.0098
0.2378,0.2441
11299.4539,437.1967
0.0901,0.1181
12.9412,6.0136
91.4139,20.3117
659.7342,70.8898
5461.9214,276.6941
137.2116,22.9724
5082.2248,305.6992
3259.5166,200.9950
0.2592,0.2587
212.2179,35.5500
559.7012,60.9042
1.9133,1.0725
254.3257,39.1115
0.0410,0.1502
2903.8573,207.9477
8.2278,2.9875
10.2316,3.5796
24.6657,6.6434
405.6943,48.9258
0.1179,0.2893
274.3439,40.6991
1737.0622,141.9283
0.1962,0.3973
85.2984,16.3709
5521.8492,283.3264
0.3428,0.5782
3.8802,1.7873
2.4551,1.2758
166.9886,26.3767
0.9770,0.6753
34.4762,8.6202
0.0823,0.1107
212.6883,31.1402
0.4949,0.4191
2.0015,1.1044
944.9163,90.7792
856.5055,84.1484
324.9818,45.7318
1966.1471,144.2052
475.3518,57.4023
1463.8917,123.3983
5264.4190,310.9402
0.1206,0.2926
2.9993,1.4509
244.6123,33.8611
98.0983,17.6969
811.8440,79.3771
4.8926,3.1314
0.0404,0.1428
0.1122,0.2775
1758.8729,131.4891
138.1505,26.7261
7936.0051,412.5399
583.5024,64.4324
4418.5282,279.1457
970.7973,93.8906
3.8278,1.7944
2.3023,1.9459
144.7924,23.7641
0.0529,0.1710
0.1774,0.3844
254.0004,34.8801
0.1060,0.1371
0.1512,0.1709
137.9657,22.8478
20.1669,7.8461
32.1681,8.2029
0.0870,0.1191
907.1021,87.9142
91.3484,19.9577
24.6891,8.5788
0.4657,0.6906
0.2756,0.2710
3758.5241,246.1728
16.7651,5.0124
1371.9561,119.6447
1267.5316,112.9922
554.8266,62.4668
16.9773,6.8663
378.1126,47.4908
112.6320,19.6983
3715.0876,239.3589
0.6212,0.4822
0.6340,0.8409
222.6715,35.4453
0.4073,0.3495
2.2892,1.2263
995.2634,92.9554
29.4649,7.7159
1.2687,0.8006
5.9257,3.5735
1421.0172,120.5006
447.0509,53.0705
27.5525,7.0912
877.7705,87.0829
713.0109,72.7275
0.2479,0.2494
0.0245,0.1076
34.9010,8.7923
4201.5199,234.0527
0.5405,0.7651
9.6822,3.4481
183.3885,27.4960
105.0566,19.1244
82.0084,15.5389
0.4931,0.4027
6636.7179,358.7465
2243.1084,168.8982
4573.7341,283.1206
1.3998,0.8642
0.1973,0.2088
973.8853,95.0005
0.7209,0.5351
0.2344,0.2485
3469.4439,227.6385
165.5186,26.0256
1169.2927,105.5806
1529.3202,130.0997
8.2640,3.0770
7.7035,4.1858
0.6453,0.4851
29.3727,9.7545
0.0761,0.1064
0.3127,0.2902
358.3527,44.9751
1.5752,0.9346
0.2572,0.2575
187.6861,29.0042
2672.1847,175.1516
0.3552,0.3204
308.8864,40.4592
8.0454,4.2823
32.5761,8.0024
102.3206,21.9383
7.6862,2.8129
0.6288,0.4831
11.5927,3.8337
46.6589,10.7782
594.9903,65.1124
162.7377,25.9416
2.3815,1.9863
1229.7398,106.3955
331.7376,44.6451
0.1574,0.1817
29.5731,7.6489
1.1545,0.7642
0.0943,0.1268
31.1118,7.8710
1263.8704,111.8451
0.1143,0.1424
4.7203,3.0724
1084.8552,100.6636
5861.7738,286.5824
0.0766,0.1052
5.9917,2.3876
16.6436,4.9565
0.3659,0.6005
0.1840,0.2022
16.6379,5.0080
45.2664,10.4539
0.5934,0.4555
0.6300,0.8451
9.9990,3.4781
2.7293,1.3874
33.9226,8.5236
16.7540,4.9724
594.3083,64.5931
0.4740,0.3918
4677.2758,283.6418
1.1715,0.7516
0.3114,0.2929
232.5719,32.7039
