T,r
2890722.3172,327.4592
671.5378,9.3906
25180.2365,43.6494
26025.8658,44.3669
254.9671,6.3207
329.1734,7.0439
472541.9422,150.3713
2816936.5610,318.0398
28.1401,2.4805
88774.7181,74.7664
0.8851,0.5820
1.4029,0.7055
9048.8637,28.0555
886.5813,10.5414
4.1786,1.1214
323050.4902,127.9984
3.4513,1.0419
13.4382,1.8327
3.1628,0.9874
25687.5074,43.9304
5681305.5729,429.8686
0.1052,0.2353
15.5047,1.9339
1.8890,0.7970
279617.3958,120.6060
527.8396,8.5090
8614.4131,27.7176
0.1957,0.3043
0.6550,0.5020
41.5218,2.9307
361.6496,7.2313
2001756.8823,274.6288
214196.5276,106.3888
19163.4412,39.2937
3.5346,1.0276
508.7360,8.4477
0.0201,0.1162
4308298.9016,381.3954
198197.8951,102.3034
0.2018,0.3073
92.9542,4.1262
13686.5575,33.8308
533.3787,8.6893
2525163.0034,301.2111
1156800.3758,219.2175
86.8273,3.9620
10766.7943,30.6899
0.7858,0.5475
14.5894,1.8575
2148701.4850,283.9789
15826.7874,35.4922
117.0355,4.5543
0.0592,0.1831
41016.0488,53.1495
0.1807,0.2970
238.9671,6.1479
58012.2507,60.9200
265.4372,6.4518
0.0390,0.1569
105.6593,4.2965
0.0288,0.1372
136.2950,4.8229
1.1087,0.6419
30566.8724,46.9306
2.3887,0.8782
424018.5423,143.1184
44573.7194,55.5544
0.0715,0.2005
0.1756,0.2890
84.8250,3.9627
205003.3090,105.3064
0.0424,0.1593
453.5067,7.9165
0.4593,0.4408
111.1445,4.4203
4699013.8945,396.7540
704065.9301,178.0152
1.1939,0.6552
16.4839,1.9999
1.1840,0.6531
2036.4653,15.0088
42.3581,2.9651
4758.0531,21.7868
212090.4758,106.2419
14750.8024,34.7517
175568.3805,98.4436
14.7385,1.8775
14605.2239,34.3720
5724637.6484,432.0859
1456.0322,13.1409
1779.2495,14.2815
0.0958,0.2257
1052604.4732,210.9332
0.0159,0.1060
14.3627,1.8359
1008.7201,11.1983
54888.2737,61.0610
25713.5660,44.0949
0.2376,0.3312
7366.1735,25.9113
1335072.0217,233.6267
51962.8887,59.7366
10671.6286,30.8166
0.0143,0.1032
4068.6942,20.2866
